F1,Indicator Code,Country ISO3,Year,Indicator,answer, Value ,Subindicator Type,Country,Region (global),Ida / Ibrd (global)
1:01,2105-IPD-A3033,CYP,1/1/2016,Ability to limit tax evasion,A3033, 2.00 ,Score,Cyprus,Europe & Central Asia,..
1:02,2105-IPD-A3033,ARE,1/1/2016,Ability to limit tax evasion,A3033, 99.00 ,Score,United Arab Emirates,Middle East & North Africa,..
1:03,2105-IPD-A3033,ALB,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Albania,Europe & Central Asia,IBRD
1:04,2105-IPD-A3033,DZA,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Algeria,Middle East & North Africa,IBRD
1:05,2105-IPD-A3033,ROU,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Romania,Europe & Central Asia,IBRD
1:06,2105-IPD-A3033,AUT,1/1/2012,Ability to limit tax evasion,A3033, 4.00 ,Score,Austria,Europe & Central Asia,..
1:07,2105-IPD-A3033,ESP,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,Spain,Europe & Central Asia,..
1:08,2105-IPD-A3033,SEN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Senegal,Sub-Saharan Africa,IDA
1:09,2105-IPD-A3033,SVN,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Slovenia,Europe & Central Asia,..
1:10,2105-IPD-A3033,EGY,1/1/2016,Ability to limit tax evasion,A3033, 3.00 ,Score,"Egypt, Arab Rep.",Middle East & North Africa,IBRD
1:11,2105-IPD-A3033,TUN,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Tunisia,Middle East & North Africa,IBRD
1:12,2105-IPD-A3033,MLT,1/1/2012,Ability to limit tax evasion,A3033, 3.00 ,Score,Malta,Middle East & North Africa,..
1:13,2105-IPD-A3033,IRQ,1/1/2012,Ability to limit tax evasion,A3033, -   ,Score,Iraq,Middle East & North Africa,IBRD
1:14,2105-IPD-A3033,AFG,1/1/2012,Ability to limit tax evasion,A3033, 1.00 ,Score,Afghanistan,South Asia,IDA
1:15,2105-IPD-A3033,SRB,1/1/2012,Ability to limit tax evasion,A3033, 2.00 ,Score,Serbia,Europe & Central Asia,IBRD
1:16,2105-IPD-A3033,FIN,1/1/2016,Ability to limit tax evasion,A3033, 4.00 ,Score,Finland,Europe & Central Asia,..
